Sentence_1,Sentence_2
ತೈವಾನ್‌ನಲ್ಲಿ 6.3 ತೀವ್ರತೆಯ ಭೂಕಂಪ,ನೈಋತ್ಯ ಪಾಕಿಸ್ತಾನದಲ್ಲಿ 7.7 ತೀವ್ರತೆಯ ಭೂಕಂಪ ಸಂಭವಿಸಿದೆ
Ryanair ದಾಖಲೆಯ ಲಾಭವನ್ನು ವರದಿ ಮಾಡಿದೆ ಆದರೆ ಈ ವರ್ಷ ಬೆಳವಣಿಗೆ ನಿಧಾನವಾಗುವ ಸಾಧ್ಯತೆಯಿದೆ ಎಂದು ಎಚ್ಚರಿಸಿದೆ,Ryanair ವಾರ್ಷಿಕ ಲಾಭದಲ್ಲಿ 13% ಏರಿಕೆಯನ್ನು ವರದಿ ಮಾಡಿದೆ ಆದರೆ ಈ ವರ್ಷ ನಿಧಾನಗತಿಯ ಬೆಳವಣಿಗೆಯನ್ನು ಎಚ್ಚರಿಸಿದೆ
ಜಪಾನಿನ ಸುರಂಗ ಕುಸಿದು ವಾಹನ ಸವಾರರು ಸಾವನ್ನಪ್ಪಿದ್ದಾರೆ,ಟೋಕಿಯೊದ ಹೊರಗೆ ಸುರಂಗದಲ್ಲಿ ಸಿಲುಕಿದ ಕಾರುಗಳು ಕುಸಿದವು
JFK ಸಾವಿನ 50 ನೇ ವಾರ್ಷಿಕೋತ್ಸವವನ್ನು ನೆನಪಿಸಿಕೊಳ್ಳಲಾಗಿದೆ,"JFK ಸಾವಿನ 50 ನೇ ವಾರ್ಷಿಕೋತ್ಸವದಂದು, ಡಲ್ಲಾಸ್ ತನ್ನ ಮೊದಲ ಸ್ಮಾರಕವನ್ನು ಹೊಂದಿದೆ"
ಇಸ್ರೇಲ್ ಪ್ಯಾಲೇಸ್ಟಿನಿಯನ್ ಕೈದಿಗಳನ್ನು ಬಿಡುಗಡೆ ಮಾಡುತ್ತದೆ,ಸರ್ಕಾರದ ಸಮಿತಿಯು 26 ಪ್ಯಾಲೇಸ್ಟಿನಿಯನ್ ಕೈದಿಗಳ ಬಿಡುಗಡೆಯನ್ನು ಅನುಮೋದಿಸಿದೆ
ಬೋಸ್ಟನ್ ಮ್ಯಾರಥಾನ್ ನ್ಯೂಸ್ ಬಗ್ಗೆ ಮಕ್ಕಳು ಮಾತನಾಡಲು ಸಹಾಯ ಮಾಡುವ ಪುಸ್ತಕಗಳು,ಬೋಸ್ಟನ್ ಮ್ಯಾರಥಾನ್‌ನ ಅಂತಿಮ ಸಾಲಿನಲ್ಲಿ ಎರಡು ಸ್ಫೋಟಗಳ ವರದಿ
ಮಂಡೇಲಾ ಕುಟುಂಬದೊಂದಿಗೆ ಒಬಾಮಾ ಭೇಟಿ,ಒಬಾಮಾ ಜುಮಾ ಅವರನ್ನು ಭೇಟಿಯಾಗಿ ಮಂಡೇಲಾ ಅವರಿಗೆ ಗೌರವ ಸಲ್ಲಿಸಿದರು
ನೆದರ್ಲ್ಯಾಂಡ್ಸ್ನ ರಾಣಿ ಬೀಟ್ರಿಕ್ಸ್ ಮಗನಿಗಾಗಿ ತ್ಯಜಿಸಲು,ನೆದರ್ಲೆಂಡ್ಸ್‌ನ ರಾಣಿ ಬೀಟ್ರಿಕ್ಸ್ ಮಗನ ಪರವಾಗಿ ಅಧಿಕಾರ ತ್ಯಜಿಸಿದರು
ಚೀನೀ ಷೇರುಗಳು ಬುಧವಾರದಂದು ಕಡಿಮೆ ಮುಚ್ಚಿದವು,ಫ್ರಾನ್ಸ್‌ನಲ್ಲಿ ಚೀನಾ ವಿದ್ಯಾರ್ಥಿಗಳ ಮೇಲೆ ದಾಳಿ
ಕೀನ್ಯಾದ ಅಧ್ಯಕ್ಷೀಯ ಅಭ್ಯರ್ಥಿಗಳ ವಿವರಗಳು,ಅಧ್ಯಕ್ಷೀಯ ಅಭ್ಯರ್ಥಿಯಾಗಿ ಇಟಾಲಿಯನ್ ಪತ್ರಕರ್ತ ಆಯ್ಕೆ
ಈಜಿಪ್ಟ್‌ನ ನಾಯಕ 3 ನಗರಗಳಲ್ಲಿ ತುರ್ತು ಪರಿಸ್ಥಿತಿಯನ್ನು ಹೇರುತ್ತಾನೆ,ಈಜಿಪ್ಟ್ ಅಧ್ಯಕ್ಷರು ಮೂರು ನಗರಗಳಲ್ಲಿ ತುರ್ತು ಪರಿಸ್ಥಿತಿಯನ್ನು ಘೋಷಿಸಿದರು
ಫಿಲಡೆಲ್ಫಿಯಾ ಕಟ್ಟಡ ಕುಸಿದು 8-10 ಮಂದಿ ಸಿಲುಕಿರುವ ಸಾಧ್ಯತೆ ಇದೆ,ಫಿಲಡೆಲ್ಫಿಯಾ ಕಟ್ಟಡ ಕುಸಿತ; ಸಿಕ್ಕಿಬಿದ್ದ ಜನರ ವರದಿಗಳು
ಇಸ್ತಾನ್‌ಬುಲ್‌ನಲ್ಲಿ ಪ್ರತಿಭಟನೆಯನ್ನು ಕೊನೆಗೊಳಿಸುವಂತೆ ಟರ್ಕಿಶ್ ಪ್ರಧಾನಿ ಒತ್ತಾಯಿಸಿದ್ದಾರೆ,ಇಸ್ತಾನ್‌ಬುಲ್‌ನಲ್ಲಿ ಪ್ರತಿಭಟನಾಕಾರರ ಮೇಲೆ ಟರ್ಕಿಶ್ ಪೊಲೀಸರು ಅಶ್ರುವಾಯು ಪ್ರಯೋಗಿಸಿದರು
ಯುಎಸ್ ಸೆನೆಟ್ ಗನ್ ನಿಯಂತ್ರಣ ಚರ್ಚೆಯನ್ನು ಪ್ರಾರಂಭಿಸುತ್ತದೆ,ಯುಎಸ್ ಸೆನೆಟ್ ಬಂದೂಕು ನಿಯಂತ್ರಣ ಮಸೂದೆಯ ಮೇಲೆ ಮತ ಚಲಾಯಿಸಲು ಸಿದ್ಧವಾಗಿದೆ
ಇಬ್ಬರು ವ್ಯಕ್ತಿಗಳು ಭಯೋತ್ಪಾದನೆ ಆರೋಪ ಹೊರಿಸಿದ್ದಾರೆ,ಸೌದಿ ಮೂಲದ ನೈಜೀರಿಯನ್ ನ್ಯೂಯಾರ್ಕ್‌ನಲ್ಲಿ ಭಯೋತ್ಪಾದನೆ ಆರೋಪ ಹೊರಿಸಿದ್ದಾನೆ
ಡಮಾಸ್ಕಸ್‌ನಲ್ಲಿ ಕಾರ್ ಬಾಂಬ್ ಸ್ಫೋಟದಲ್ಲಿ 53 ಮಂದಿ ಸಾವನ್ನಪ್ಪಿದ್ದಾರೆ,ಇರಾಕ್ ರಾಜಧಾನಿಯಲ್ಲಿ ಕಾರ್ ಬಾಂಬ್ ದಾಳಿಯಲ್ಲಿ 13 ನಾಗರಿಕರು ಸಾವನ್ನಪ್ಪಿದ್ದಾರೆ
ಮಾಜಿ ಪೊಲೀಸ್ ಅಧಿಕಾರಿ ಇರ್ವಿನ್ ಹತ್ಯೆಗಳಲ್ಲಿ ಹುಡುಕಿದರು,ಮಾಹಿತಿ ಸೋರಿಕೆಗಾಗಿ ಮಾಜಿ ಪೊಲೀಸ್ ಅಧಿಕಾರಿಗೆ 30 ತಿಂಗಳ ಜೈಲು ಶಿಕ್ಷೆ
ಇಸ್ರೇಲ್ ವೈಮಾನಿಕ ದಾಳಿಯನ್ನು ಸಿರಿಯಾ ಖಂಡಿಸುತ್ತದೆ,ಇರಾಕ್ ಮೇಲೆ ಮಾರಣಾಂತಿಕ ದಾಳಿಗಳ ಸರಣಿ
ಅಮೆರಿಕದಲ್ಲಿ 4.1 ತೀವ್ರತೆಯ ಭೂಕಂಪ ಸಂಭವಿಸಿದೆ,ಫಿಲಿಪೈನ್ಸ್‌ನಲ್ಲಿ 7.2 ತೀವ್ರತೆಯ ಭೂಕಂಪ ಸಂಭವಿಸಿದೆ
"ಜಂತರ್ ಮಂತರ್ ನಲ್ಲಿ ಎಬಿವಿಪಿ ಪ್ರತಿಭಟನಾಕಾರರು ಪೊಲೀಸರೊಂದಿಗೆ ಘರ್ಷಣೆ, ಕಲ್ಲು ತೂರಾಟ","ಜಂತರ್ ಮಂತರ್ ನಲ್ಲಿ ಪೊಲೀಸರೊಂದಿಗೆ ಪ್ರತಿಭಟನಾಕಾರರ ಘರ್ಷಣೆ, 5 ಜನರನ್ನು ಬಂಧಿಸಲಾಗಿದೆ"
ಪರಮಾಣು ಮಾತುಕತೆಗಳು 'ಮಾರ್ಗ ನಕ್ಷೆ' ನೀಡುತ್ತದೆ ಎಂದು ಇರಾನ್ ಆಶಿಸಿದೆ,ಜಿನೀವಾದಲ್ಲಿ ಇರಾನ್ ಪರಮಾಣು ಮಾತುಕತೆಗಳು ಹೆಚ್ಚಿನ ಭರವಸೆಯನ್ನು ಹೆಚ್ಚಿಸಿವೆ
ಕೆಂಪು ದ್ರಾಕ್ಷಿ ಮತ್ತು ಬೆರಿಹಣ್ಣುಗಳು ರೋಗನಿರೋಧಕ ಶಕ್ತಿಯನ್ನು ಹೆಚ್ಚಿಸುತ್ತವೆ ಎಂದು ವಿಜ್ಞಾನಿಗಳು ಹೇಳುತ್ತಾರೆ,"ಕೆಂಪು ದ್ರಾಕ್ಷಿ, ಬೆರಿಹಣ್ಣುಗಳು ಮಾನವನ ರೋಗನಿರೋಧಕ ಶಕ್ತಿಯನ್ನು ಹೆಚ್ಚಿಸುತ್ತವೆ"
ಉತ್ತರ ಕೊರಿಯಾ ಕಡಿಮೆ ವ್ಯಾಪ್ತಿಯ ಕ್ಷಿಪಣಿಗಳ ಪರೀಕ್ಷೆ ನಡೆಸುತ್ತಿದೆ ಎಂದು ವರದಿಯಾಗಿದೆ,ಉತ್ತರ ಕೊರಿಯಾ ಕಡಿಮೆ ವ್ಯಾಪ್ತಿಯ ಕ್ಷಿಪಣಿಗಳನ್ನು ಉಡಾಯಿಸುತ್ತದೆ
EU ನೊಬೆಲ್ ಶಾಂತಿ ಪ್ರಶಸ್ತಿಯನ್ನು ಪಡೆಯುತ್ತದೆ,EU 2012 ರ ನೊಬೆಲ್ ಶಾಂತಿ ಪ್ರಶಸ್ತಿಯನ್ನು ಪಡೆಯುತ್ತದೆ
ವೆನೆಜುವೆಲಾದ ಹ್ಯೂಗೋ ಚಾವೆಜ್ ಕ್ಯಾನ್ಸರ್ ನಿಂದ ನಿಧನರಾದರು,ಹ್ಯೂಗೋ ಚಾವೆಜ್: ಏಕತೆಗಾಗಿ ವೆನೆಜುವೆಲಾದ ಅಧಿಕಾರಿಗಳು
"21 ರವರೆಗೆ, ಕಾಬೂಲ್ ಆತ್ಮಾಹುತಿ ದಾಳಿಯಲ್ಲಿ ಹೆಚ್ಚಾಗಿ ವಿದೇಶಿಗರು ಕೊಲ್ಲಲ್ಪಟ್ಟರು",ಕಾಬೂಲ್ ಆತ್ಮಾಹುತಿ ದಾಳಿಯಲ್ಲಿ ಸತ್ತವರ ಪೈಕಿ ಬ್ರಿಟನ್
ಉತ್ತರ ಕೊರಿಯಾ ಮೂರನೇ ಪರಮಾಣು ಪರೀಕ್ಷೆ ನಡೆಸಿದೆ,ಉತ್ತರ ಕೊರಿಯಾ ಮೂರನೇ ಪರಮಾಣು ಪರೀಕ್ಷೆಯನ್ನು ಖಚಿತಪಡಿಸಿದೆ
ಟೋಕಿಯೊ ಷೇರುಗಳು 0.88pc ನಷ್ಟು ಕಡಿಮೆಯಾಗಿದೆ,ಸಿಂಗಾಪುರದ ಷೇರುಗಳು 0.44pc ನಷ್ಟು ಕಡಿಮೆಯಾಗಿದೆ
ಯುಕೆ ಅಪಘಾತದಲ್ಲಿ ನಾಲ್ವರು ಯುಎಸ್ ಏರ್ ಫೋರ್ಸ್ ಹೆಲಿಕಾಪ್ಟರ್ ಸಿಬ್ಬಂದಿ ಸಾವನ್ನಪ್ಪಿದ್ದಾರೆ,ಯುಕೆ ಅಪಘಾತದಲ್ಲಿ ಯುಎಸ್ ಏರ್ ಫೋರ್ಸ್ ಹೆಲಿಕಾಪ್ಟರ್ ಸಿಬ್ಬಂದಿ ಸಾವನ್ನಪ್ಪಿದ್ದಾರೆ
"ಇಂಟೆಲ್‌ನ ಮ್ಯಾಕ್‌ಅಫೀ ಕ್ಲೌಡ್-ಆಧಾರಿತ, ನೆಟ್‌ವರ್ಕ್ ಮಾಡಿದ ಫೈರ್‌ವಾಲ್ ಸ್ಪೆಷಲಿಸ್ಟ್ ಸ್ಟೋನ್‌ಸಾಫ್ಟ್ ಅನ್ನು $389M ನಗದಿನಲ್ಲಿ ಖರೀದಿಸುತ್ತದೆ",ಮ್ಯಾಕ್‌ಅಫೀ $389 ಮಿಲಿಯನ್‌ಗೆ ಫೈರ್‌ವಾಲ್ ಸ್ಟೋನ್‌ಸಾಫ್ಟ್ ಅನ್ನು ಸ್ವಾಧೀನಪಡಿಸಿಕೊಳ್ಳಲು
ಮಲೇಷ್ಯಾ ವಿಮಾನ ನಿಲ್ದಾಣದಲ್ಲಿ ಆಸ್ಟ್ರೇಲಿಯಾದ ಸೆನೆಟರ್ ಅನ್ನು ಬಂಧಿಸಿದೆ,ಮಲೇಷ್ಯಾ ವಿಮಾನ ನಿಲ್ದಾಣದಲ್ಲಿ ಆಸ್ಟ್ರೇಲಿಯಾದ ಶಾಸಕರನ್ನು ಬಂಧಿಸಿದೆ
ಬಾಂಗ್ಲಾದೇಶ ವಿರೋಧ ಪಕ್ಷದ ನಾಯಕನಿಗೆ ಯುದ್ಧಾಪರಾಧಕ್ಕಾಗಿ ಮರಣದಂಡನೆ,ಬಾಂಗ್ಲಾದೇಶ: ಯುದ್ಧಾಪರಾಧಗಳ ನ್ಯಾಯಮಂಡಳಿಯಿಂದ ಪರಾರಿಯಾದ ವ್ಯಕ್ತಿಗೆ ಮರಣದಂಡನೆ ವಿಧಿಸಲಾಗಿದೆ
ಥ್ಯಾಚರ್ ಅಂತ್ಯಕ್ರಿಯೆಗೆ ಬಿಗಿ ಭದ್ರತೆ,ಕೀನ್ಯಾದಲ್ಲಿ ಹೊಸ ಭಯೋತ್ಪಾದಕ ಬೆದರಿಕೆಗಳ ಬಗ್ಗೆ ಭದ್ರತಾ ಏಜೆನ್ಸಿಗಳು ಚಿಂತಿಸುತ್ತಿವೆ
ಪೂರ್ವ ಅಫ್ಘಾನಿಸ್ತಾನದ ಸ್ಫೋಟದಲ್ಲಿ 2 ಪೊಲೀಸರು ಕೊಲ್ಲಲ್ಪಟ್ಟರು,ಚೀನಾದ ಕಲ್ಲಿದ್ದಲು ಗಣಿ ಸ್ಫೋಟದಲ್ಲಿ ಕನಿಷ್ಠ 28 ಜನರು ಸಾವನ್ನಪ್ಪಿದ್ದಾರೆ
ಇಟಲಿಯಲ್ಲಿ ಬಸ್ ಅಪಘಾತದಲ್ಲಿ 37 ಸಾವು,ಪಾಕಿಸ್ತಾನದಲ್ಲಿ ಬಸ್ ಅಪಘಾತದಲ್ಲಿ 12 ಮಂದಿ ಸಾವು
ಲಾಲ್ ಮಸೀದಿ ಪ್ರಕರಣದಲ್ಲಿ ಮುಷರಫ್ ಬಂಧನ,ಪಾಕಿಸ್ತಾನದಲ್ಲಿ ಮುಷರಫ್ ಬಂಧನ
ಅಫ್ಘಾನಿಸ್ತಾನದಲ್ಲಿ 38 ತಾಲಿಬಾನ್ ಉಗ್ರರು ಹತರಾಗಿದ್ದಾರೆ,ಅಫ್ಘಾನಿಸ್ತಾನದಲ್ಲಿನ ಯುಎಸ್ ನೆಲೆಯ ಮೇಲೆ ತಾಲಿಬಾನ್ ದಾಳಿ
ಅಫ್ಘಾನಿಸ್ತಾನದ ದಾಳಿಯಲ್ಲಿ 35 ಉಗ್ರರ ಹತ್ಯೆ: ಅಧಿಕಾರಿ,ಅಫ್ಘಾನ್ ದಾಳಿಯಲ್ಲಿ 12 ಉಗ್ರರು ಹತ್ಯೆ: ಸಚಿವಾಲಯ
ಸಿರಿಯನ್ ವಿರೋಧವನ್ನು ಯುಎಸ್ ಗುರುತಿಸುತ್ತದೆ,ರಷ್ಯಾ ಸಿರಿಯಾದ ವಿರೋಧವನ್ನು ಮಾತುಕತೆಗೆ ಆಹ್ವಾನಿಸಿದೆ
ಥಾಯ್ ಪ್ರತಿಭಟನಾಕಾರರು ಮತದಾನಕ್ಕೆ ಅಡ್ಡಿ; ಹಿಂಸಾಚಾರದಲ್ಲಿ 1 ಸಾವು,ಥಾಯ್ ಪ್ರತಿಭಟನಾಕಾರರು ಬ್ಯಾಂಕಾಕ್‌ನಲ್ಲಿ ಮತದಾನ ಕೇಂದ್ರಗಳನ್ನು ನಿರ್ಬಂಧಿಸಿದ್ದಾರೆ
ಈಜಿಪ್ಟ್ ಹೊಸ ಸಂವಿಧಾನದಲ್ಲಿ ಮತ ಚಲಾಯಿಸುತ್ತದೆ,ಈಜಿಪ್ಟಿನವರು ಹೊಸ ಸಂವಿಧಾನದ ಮೇಲೆ ಮತ ಹಾಕುತ್ತಾರೆ
ಉತ್ತರ ಕೊರಿಯಾದ ಮೂರನೇ ಪರೀಕ್ಷೆಯು ಅದನ್ನು ಪರಮಾಣು ಶಕ್ತಿ ಸ್ಥಿತಿಗೆ ಹತ್ತಿರ ತರುತ್ತದೆ,ಉತ್ತರ ಕೊರಿಯಾ ಪರಮಾಣು ಪರೀಕ್ಷೆಯು ವಿಶ್ವ ಶಾಂತಿಗೆ ಗಂಭೀರ ಬೆದರಿಕೆಯಾಗಿದೆ ಎಂದು ನ್ಯಾಟೋ ಹೇಳಿದೆ
ಆರ್ಥಿಕ ಬಲೆಗಳನ್ನು ತಪ್ಪಿಸಲು ಚೀನಾ ಶ್ರಮಿಸುತ್ತಿದೆ,ಆರ್ಥಿಕ ಬೆಳವಣಿಗೆಯನ್ನು ಉತ್ತೇಜಿಸಲು ವಿಮೆ ಪ್ರಮುಖವಾಗಿದೆ
ಭಾರತೀಯ ಷೇರುಗಳು ಸಮತಟ್ಟಾಗಿ ತೆರೆದಿವೆ,ಭಾರತೀಯ ಷೇರುಗಳು ಕೆಳಮಟ್ಟದಲ್ಲಿ ತೆರೆದಿವೆ
ಅಫ್ಘಾನಿಸ್ತಾನದಲ್ಲಿ ರಸ್ತೆಬದಿ ಬಾಂಬ್ ದಾಳಿಗೆ 5 ಮಂದಿ ಬಲಿ,ಅಫ್ಘಾನಿಸ್ತಾನದಲ್ಲಿ ರಸ್ತೆಬದಿ ಬಾಂಬ್ ದಾಳಿಯಲ್ಲಿ 3 ಪೊಲೀಸರು ಸಾವನ್ನಪ್ಪಿದ್ದಾರೆ
"ಇಸ್ರೇಲಿಗಳು, ಪ್ಯಾಲೆಸ್ಟೀನಿಯಾದವರು US ನಲ್ಲಿ ಮಾತುಕತೆ ಪುನರಾರಂಭಿಸಿದರು","ಇಸ್ರೇಲಿಗಳು, ಪ್ಯಾಲೆಸ್ಟೀನಿಯಾದವರು ಮಾತುಕತೆಗಳನ್ನು ಪ್ರಾರಂಭಿಸುತ್ತಾರೆ"
ಫ್ರೆಂಚ್ ನೇತೃತ್ವದ ಪಡೆಗಳು ಟಿಂಬಕ್ಟುಗೆ ಹತ್ತಿರವಾಗುತ್ತವೆ,ಫ್ರೆಂಚ್ ನೇತೃತ್ವದ ಪಡೆಗಳು ಟಿಂಬಕ್ಟುಗೆ ಪ್ರವೇಶವನ್ನು ನಿಯಂತ್ರಿಸುತ್ತವೆ
ರಾಜಕೀಯ ಬಿಕ್ಕಟ್ಟಿನ ವಿರುದ್ಧ ಪ್ರತಿಭಟನೆಯಲ್ಲಿ ಲೆಬನಾನ್ ವ್ಯವಹಾರಗಳು ಮುಷ್ಕರ,ಆತ್ಮವಿಶ್ವಾಸವು ರಾಜಕೀಯ ಬಿಕ್ಕಟ್ಟನ್ನು ನಿವಾರಿಸುತ್ತದೆ ಎಂದು ಟುನೀಶಿಯಾ ಅಧ್ಯಕ್ಷರು ಹೇಳುತ್ತಾರೆ
ಪಾಕಿಸ್ತಾನದಲ್ಲಿ ಬಂದೂಕುಧಾರಿಗಳು 11 ವಿದೇಶಿ ಪ್ರವಾಸಿಗರನ್ನು ಕೊಂದಿದ್ದಾರೆ,ಪಾಕಿಸ್ತಾನದಲ್ಲಿ ಬಂದೂಕುಧಾರಿಗಳು 11 ವಿದೇಶಿ ಪರ್ವತಾರೋಹಿಗಳನ್ನು ಕೊಂದಿದ್ದಾರೆ
ಟೋಕಿಯೋ 2020 ರ ಒಲಂಪಿಕ್ ಕ್ರೀಡಾಕೂಟವನ್ನು ಆಯೋಜಿಸುತ್ತದೆ,ಟೋಕಿಯೋ 2020 ರ ಒಲಂಪಿಕ್ಸ್ ಅನ್ನು ಆಯೋಜಿಸುವ ಓಟವನ್ನು ಗೆದ್ದಿದೆ
ಫ್ರಾನ್ಸ್ ಮಾಲಿಯಲ್ಲಿ ಮಿಲಿಟರಿ ಸಹಾಯವನ್ನು ಪ್ರತಿಜ್ಞೆ ಮಾಡಿದೆ,ಮಾಲಿಯಲ್ಲಿ ಹೆಚ್ಚಿನ ಫ್ರೆಂಚ್ ಮಿಲಿಟರಿ ಕಾರ್ಯಾಚರಣೆಯನ್ನು ಬೆಂಬಲಿಸುತ್ತದೆ
ಮುಂಬೈ ಅತ್ಯಾಚಾರ ಪ್ರಕರಣದಲ್ಲಿ ಭಾರತೀಯ ಪೊಲೀಸರು ಎಲ್ಲಾ ಐವರು ಶಂಕಿತರನ್ನು ಬಂಧಿಸಿದ್ದಾರೆ,ಮುಂಬೈ ಪೊಲೀಸರು ಸಾಮೂಹಿಕ ಅತ್ಯಾಚಾರ ಪ್ರಕರಣದಲ್ಲಿ ಐದನೇ ಆರೋಪಿಯನ್ನು ಬಂಧಿಸಿದ್ದಾರೆ
ಈಜಿಪ್ಟಿನವರು ವಿಭಜಕ ಸಂವಿಧಾನದ ಮೇಲೆ ಮತ ಚಲಾಯಿಸುತ್ತಾರೆ,ಈಜಿಪ್ಟಿನವರು ಸಂವಿಧಾನ ಬದಲಾವಣೆಗೆ ಮತ ಹಾಕುತ್ತಾರೆ
ಉತ್ತರದಿಂದ ಉಡಾಯಿಸಿದ ಕ್ಷಿಪಣಿಗಳು ಎಂದು ದಕ್ಷಿಣ ಕೊರಿಯಾ ಹೇಳಿದೆ,ಉತ್ತರ ಕೊರಿಯಾ ಕಡಿಮೆ ವ್ಯಾಪ್ತಿಯ ಕ್ಷಿಪಣಿಗಳನ್ನು ಉಡಾಯಿಸುತ್ತದೆ
ಹೆಚ್ಚಿನ ಈಜಿಪ್ಟ್ ಪ್ರತಿಭಟನೆಗಳಿಗೆ ಕರೆಗಳು,ಈಜಿಪ್ಟ್ ಪ್ರತಿಭಟನೆಯಲ್ಲಿ ಸತ್ತವರ ಸಂಖ್ಯೆ 49 ಕ್ಕೆ ಏರಿದೆ
ರಾಸಾಯನಿಕ ಅಸ್ತ್ರಗಳ ಬಗ್ಗೆ ಅಮೆರಿಕ ಸಿರಿಯಾಕ್ಕೆ ಎಚ್ಚರಿಕೆ ನೀಡಿದೆ,ಸಿರಿಯಾದ ರಾಸಾಯನಿಕ ಅಸ್ತ್ರಗಳ ಬಗ್ಗೆ ಅಮೆರಿಕದ ಕಾಳಜಿ ಬೆಳೆಯುತ್ತಿದೆ
"ಯುಎಸ್ ಕಾರು ಗೊಂದಲದಲ್ಲಿ ಒಬ್ಬ ಸಾವು, 11 ಮಂದಿ ಗಾಯಗೊಂಡಿದ್ದಾರೆ","ಕೊಟಬಾಟೊ ಸ್ಫೋಟದಲ್ಲಿ 6 ಸಾವು, 33 ಮಂದಿ ಗಾಯಗೊಂಡಿದ್ದಾರೆ"
ಗ್ರೇಟ್ ಬ್ಯಾರಿಯರ್ ರೀಫ್‌ನಲ್ಲಿ ಯುಎಸ್ ಬಾಂಬ್‌ಗಳನ್ನು ಎಸೆಯುತ್ತದೆ,ಆಸ್ಟ್ರೇಲಿಯಾದ ಗ್ರೇಟ್ ಬ್ಯಾರಿಯರ್ ರೀಫ್ ಬಳಿ ಯುಎಸ್ ಮಿಲಿಟರಿ ಜೆಟ್ಟಿಸನ್ ಬಾಂಬ್‌ಗಳನ್ನು ಸ್ಫೋಟಿಸಿತು
ದೊಡ್ಡ ಬಜೆಟ್ ಒಪ್ಪಂದದಲ್ಲಿ ಸಾಮಾಜಿಕ ಸುರಕ್ಷತಾ ನಿವ್ವಳವನ್ನು ಕಡಿತಗೊಳಿಸುವ ಪ್ರಸ್ತಾಪವನ್ನು ಒಬಾಮಾ ನವೀಕರಿಸಿದ್ದಾರೆ,ಬಜೆಟ್ ಡೆಡ್‌ಲಾಕ್ ಅನ್ನು ತ್ವರಿತವಾಗಿ ನಿಭಾಯಿಸಲು ಜಪಾನ್ ಯುಎಸ್ ಅನ್ನು ಒತ್ತಾಯಿಸುತ್ತದೆ
ಚೀನಾ ಯುವಾನ್ USD ವಿರುದ್ಧ 6.2689 ಗೆ ಬಲಗೊಳ್ಳುತ್ತದೆ,ಚೀನೀ ಯುವಾನ್ USD ವಿರುದ್ಧ 6.2816 ಗೆ ದುರ್ಬಲಗೊಳ್ಳುತ್ತದೆ
ಅಲ್-ಖೈದಾ ನಾಯಕನನ್ನು ಸೆರೆಹಿಡಿಯಲಾಗಿದೆ ಎಂದು ಯುಎಸ್ ದೃಢಪಡಿಸಿದೆ,ಯುಎಸ್ ಅಲ್-ಖೈದಾ ನಾಯಕನನ್ನು ಸೆರೆಹಿಡಿಯುತ್ತದೆ ಆದರೆ ಸೊಮಾಲಿಯಾ ದಾಳಿಯಲ್ಲಿ ವಿಫಲವಾಗಿದೆ
ಗೂಗಲ್ ಟೆಕ್ಸಾಸ್ ವಿಂಡ್ ಫಾರ್ಮ್‌ನಲ್ಲಿ $200 ಮಿಲಿಯನ್ ಹೂಡಿಕೆ ಮಾಡಿದೆ,ಟೆಕ್ಸಾಸ್ ವಿಂಡ್ ಫಾರ್ಮ್ ಯೋಜನೆಯಲ್ಲಿ ಗೂಗಲ್ 200 ಮಿಲಿಯನ್ USD ಹೂಡಿಕೆ ಮಾಡಿದೆ
ಅಫ್ಘಾನ್ ಆಂತರಿಕ ದಾಳಿಯಲ್ಲಿ US ಪಡೆಗಳು ಕೊಲ್ಲಲ್ಪಟ್ಟವು,ಅಫ್ಘಾನ್ ಒಳಗಿನ ದಾಳಿಯಲ್ಲಿ US ಪಡೆಗಳು ಕೊಲ್ಲಲ್ಪಟ್ಟರು
ಪ್ರೆಸ್ಟನ್ ಮತ್ತು ಇಂಗ್ಲೆಂಡ್ ದಂತಕಥೆ ಟಾಮ್ ಫಿನ್ನಿ 91 ನೇ ವಯಸ್ಸಿನಲ್ಲಿ ನಿಧನರಾದರು,ಇಂಗ್ಲೆಂಡ್‌ನ ಮಾಜಿ ಆಟಗಾರ ಟಾಮ್ ಫಿನ್ನಿ 91 ನೇ ವಯಸ್ಸಿನಲ್ಲಿ ನಿಧನರಾದರು
ಬೋಸ್ಟನ್ ಬಾಂಬ್ ಬಲಿಪಶುಗಳಿಗಾಗಿ ಲಂಡನ್ ಮ್ಯಾರಥಾನ್ ಮೌನವನ್ನು ಆಚರಿಸುತ್ತದೆ,ಲಂಡನ್ ಮ್ಯಾರಥಾನ್ ಬೋಸ್ಟನ್ ಬಲಿಪಶುಗಳಿಗಾಗಿ ಮೌನವನ್ನು ಆಚರಿಸುತ್ತದೆ
ಬೆಂಗಾಜಿಯಲ್ಲಿ ಕಾರ್ ಬಾಂಬ್‌ನಲ್ಲಿ ಒಬ್ಬನನ್ನು ಕೊಲ್ಲಲಾಯಿತು ಮತ್ತು ಐವರು ಗಾಯಗೊಂಡರು,ಬೆಂಗಾಜಿಯಲ್ಲಿ ಕಾರ್ ಬಾಂಬ್‌ನಲ್ಲಿ ಒಬ್ಬನನ್ನು ಕೊಲ್ಲಲಾಯಿತು ಮತ್ತು ಐವರು ಗಾಯಗೊಂಡರು
